,price,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options_laundry on site,laundry_options_no laundry on site,laundry_options_w/d hookups,laundry_options_w/d in unit,parking_options_attached garage,parking_options_carport,parking_options_detached garage,parking_options_off-street parking,parking_options_street parking
120,1365,461,1,1.0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
121,1035,771,2,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
122,625,500,1,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
123,1189,925,2,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
124,1170,1107,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
125,1192,742,1,1.0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
126,800,750,2,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
127,1297,1003,2,2.0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
128,950,1204,4,2.5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
129,209,300,0,1.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
130,1314,1200,3,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
131,1312,1167,2,2.0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
132,929,686,2,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
133,1495,1146,3,2.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
134,1513,1006,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
135,268,300,0,1.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
136,886,400,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
137,866,570,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
138,773,676,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
139,1050,762,2,1.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
140,1248,938,2,2.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
141,1314,725,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
142,1019,550,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
143,1510,1213,2,2.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
144,1185,879,2,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
145,1515,1219,3,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
146,1275,1017,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
147,1353,1054,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
148,941,634,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
149,1131,950,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
150,1109,768,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
151,1833,1289,3,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
152,1050,750,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
153,1381,1183,3,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
154,799,600,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
155,926,730,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
156,860,615,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
157,1235,543,1,1.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
158,3416,1070,2,2.0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0
159,736,350,0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
160,924,539,1,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
161,1048,700,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
162,925,700,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
163,1605,1106,2,2.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
164,1235,2082,4,1.5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
165,1254,1152,3,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
166,647,1159,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
167,1850,1160,2,2.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
168,1205,937,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
169,925,700,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
170,1555,1426,3,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
171,1585,1063,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
172,925,700,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
173,1346,950,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
174,1175,730,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
175,925,700,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
176,1499,1221,2,0.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
177,679,240,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
178,925,700,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
179,0,900,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
180,1070,814,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
181,1344,1199,3,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
182,1520,1063,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
183,1200,1000,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
184,0,778,1,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
185,1171,911,2,2.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
186,1650,1188,3,2.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
187,1180,770,1,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
188,1095,800,2,2.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
189,940,675,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
190,1200,940,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
