,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
358874,1301,apartment,1025,2,2.0,0,0,1,0,0,0,,
358875,695,apartment,475,0,1.0,1,1,1,0,0,0,,
358876,795,apartment,491,1,1.0,1,1,1,0,0,0,,
358877,875,apartment,636,2,1.0,1,1,1,0,0,0,,
358878,920,apartment,853,2,1.0,1,1,1,0,0,0,,
358879,0,apartment,778,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
358880,679,apartment,240,0,1.0,0,0,1,0,0,0,,
358881,920,apartment,456,1,1.0,0,0,1,0,0,0,,
358882,1365,apartment,461,1,1.0,1,1,0,1,0,0,w/d in unit,detached garage
358883,1035,apartment,771,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
358885,625,apartment,500,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
358886,1189,apartment,925,2,1.0,0,0,1,0,0,0,,
358887,1170,apartment,1107,2,2.0,0,0,1,0,0,0,,
358888,1192,apartment,742,1,1.0,1,1,1,0,0,0,w/d in unit,detached garage
358890,800,apartment,750,2,1.0,0,0,1,0,0,0,w/d hookups,
358891,1297,apartment,1003,2,2.0,1,1,1,1,0,1,w/d in unit,
358892,950,apartment,1204,4,2.5,1,1,1,0,0,0,,
358893,209,apartment,300,0,1.0,1,1,0,1,0,1,,
358894,1314,apartment,1200,3,2.0,1,1,1,0,0,0,w/d in unit,carport
358896,1312,apartment,1167,2,2.0,1,1,1,1,0,0,w/d in unit,detached garage
358897,929,apartment,686,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
358898,1495,apartment,1146,3,2.0,1,1,1,0,0,0,,
358900,1513,apartment,1006,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358901,268,apartment,300,0,1.0,1,1,0,0,0,1,laundry on site,
358903,886,apartment,400,1,1.0,1,1,1,0,0,0,,
358904,866,apartment,570,1,1.0,0,0,1,0,0,0,,
358906,773,apartment,676,1,1.0,0,0,1,0,0,0,,
358911,1050,apartment,762,2,1.0,1,1,1,0,0,0,laundry in bldg,carport
358915,1248,apartment,938,2,2.0,1,1,1,1,0,0,w/d in unit,
358916,1314,apartment,725,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358917,1019,apartment,550,1,1.0,1,1,1,0,0,0,,
358919,1510,apartment,1213,2,2.0,0,0,1,0,0,0,w/d in unit,attached garage
358921,1185,apartment,879,2,1.0,1,1,1,0,0,0,laundry on site,carport
358925,1515,apartment,1219,3,2.0,0,0,1,0,0,0,,
358926,1275,apartment,1017,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358927,1353,apartment,1054,2,2.0,0,0,1,0,0,0,,
358928,941,apartment,634,1,1.0,1,1,1,0,0,0,laundry on site,carport
358929,1131,apartment,950,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358932,1109,apartment,768,1,1.0,0,0,1,0,0,0,,
358933,1833,apartment,1289,3,2.0,1,1,1,0,0,0,w/d in unit,carport
358934,1050,apartment,750,1,1.0,1,1,1,0,0,0,laundry on site,carport
358935,1381,apartment,1183,3,2.0,0,0,1,0,0,0,,
358936,799,apartment,600,1,1.0,1,1,1,0,0,0,laundry on site,carport
358937,926,apartment,730,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358938,860,apartment,615,1,1.0,1,1,1,0,0,0,laundry on site,carport
358939,1235,apartment,543,1,1.0,1,1,0,0,0,0,w/d in unit,carport
358940,3416,apartment,1070,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage
358941,736,apartment,350,0,1.0,1,1,1,0,0,0,,
358942,924,apartment,539,1,1.0,1,1,1,0,0,0,w/d in unit,
358943,1048,apartment,700,1,1.0,0,0,1,0,0,0,,
358944,925,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358945,1605,apartment,1106,2,2.0,1,1,0,0,0,0,w/d in unit,carport
358946,1235,apartment,2082,4,1.5,1,1,1,0,0,0,,
358948,1254,apartment,1152,3,2.0,1,1,1,0,0,0,w/d in unit,carport
358949,647,apartment,1159,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358950,1850,apartment,1160,2,2.0,1,1,0,0,0,0,w/d in unit,carport
358951,1205,apartment,937,1,1.0,1,1,1,0,0,0,,
358952,925,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358953,1555,apartment,1426,3,2.0,0,0,1,0,0,0,,
358954,1585,apartment,1063,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358955,925,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358956,1346,apartment,950,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358957,1175,apartment,730,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358958,925,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358959,1499,apartment,1221,2,0.0,1,1,1,0,0,0,,
358960,679,apartment,240,0,1.0,0,0,1,0,0,0,,
358962,925,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358963,0,apartment,900,2,2.0,0,0,1,0,0,0,,
358964,1070,apartment,814,1,1.0,0,0,1,0,0,0,,
358965,1344,apartment,1199,3,2.0,1,1,1,0,0,0,w/d in unit,carport
358966,1520,apartment,1063,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358967,1200,apartment,1000,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358968,0,apartment,778,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
358969,1171,apartment,911,2,2.0,0,1,1,0,0,0,laundry on site,carport
358970,1650,apartment,1188,3,2.0,1,1,0,0,0,0,w/d in unit,carport
358971,1180,apartment,770,1,0.0,0,0,1,0,0,0,w/d in unit,carport
358973,1095,apartment,800,2,2.0,1,1,0,0,0,0,laundry on site,off-street parking
358974,940,apartment,675,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358975,1200,apartment,940,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358976,1200,apartment,940,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358977,1200,apartment,1000,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358978,1200,apartment,940,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358979,1275,apartment,900,2,2.0,0,0,1,0,0,0,,
358980,800,apartment,500,0,1.0,1,1,1,0,0,0,w/d in unit,carport
358981,973,apartment,586,1,1.0,0,0,1,0,0,0,,
358982,800,apartment,500,0,1.0,1,1,1,0,0,0,w/d in unit,carport
358983,1209,apartment,900,2,2.0,0,0,1,0,0,0,,
358984,800,apartment,500,0,1.0,1,1,1,0,0,0,w/d in unit,carport
358985,1199,apartment,745,1,1.0,0,0,1,0,0,0,,
358986,1248,apartment,938,2,2.0,1,1,1,1,0,0,w/d in unit,
358987,1337,apartment,970,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
358988,1095,apartment,1000,2,2.0,1,1,0,0,0,0,w/d in unit,carport
358989,0,apartment,778,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
358990,1190,apartment,1006,2,2.0,0,0,1,0,0,0,w/d in unit,
358991,1220,apartment,868,1,1.0,0,0,1,0,0,0,,
358992,975,apartment,926,2,2.0,0,0,1,0,0,0,,
358993,1199,apartment,910,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358994,1438,apartment,1006,2,2.0,0,0,1,0,0,0,,
358995,1190,apartment,797,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358997,1305,apartment,1067,2,2.0,0,0,1,0,0,0,,
358998,1146,apartment,950,2,2.0,0,0,1,0,0,0,,
358999,955,apartment,694,1,1.0,1,1,1,0,0,0,w/d in unit,carport
359000,1030,apartment,946,2,1.0,1,1,1,0,0,0,w/d in unit,carport
359001,2036,apartment,982,2,2.0,1,1,1,0,0,0,w/d in unit,
359002,1400,apartment,769,1,1.0,1,1,1,0,0,0,w/d in unit,
359003,1403,apartment,770,1,1.0,1,1,0,0,0,0,w/d in unit,carport
359004,975,apartment,926,2,2.0,0,0,1,0,0,0,,
359005,1441,apartment,1208,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359006,725,apartment,590,1,1.0,1,1,1,0,0,0,laundry on site,
359007,1085,apartment,667,1,1.0,1,1,1,0,0,0,w/d in unit,carport
359008,1160,apartment,902,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359009,912,apartment,833,1,1.0,1,1,1,0,0,0,w/d in unit,carport
359010,1115,apartment,1144,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359011,0,apartment,778,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
359012,795,apartment,491,0,1.0,1,1,1,0,0,0,w/d in unit,off-street parking
359013,685,apartment,569,1,1.0,1,1,1,0,0,0,w/d in unit,carport
359014,1520,apartment,1146,3,2.0,1,1,1,0,0,0,,
359015,1301,apartment,1003,2,2.0,1,1,0,0,0,0,w/d in unit,carport
359016,1425,apartment,1213,2,2.0,1,0,0,0,0,0,,carport
359017,1535,apartment,1253,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359018,1677,apartment,1098,2,2.0,0,0,1,0,0,0,w/d in unit,attached garage
359019,785,apartment,502,0,1.0,1,1,1,0,0,0,w/d in unit,
359020,1212,apartment,916,2,2.0,1,1,1,0,0,0,,
359021,975,apartment,863,2,1.0,1,1,1,0,0,0,w/d in unit,carport
359023,0,apartment,778,2,2.0,1,1,1,0,0,0,laundry in bldg,off-street parking
359024,1423,apartment,988,2,2.0,0,0,1,0,0,0,,
359025,1095,apartment,1295,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359026,1773,apartment,1133,3,2.0,1,1,1,0,0,0,w/d in unit,
359027,1389,apartment,1205,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359028,1330,apartment,503,0,1.0,1,1,0,1,0,1,w/d in unit,detached garage
359030,1105,apartment,605,1,1.0,1,1,0,0,0,0,laundry on site,carport
359031,1400,apartment,1050,2,2.0,1,1,1,0,0,0,laundry on site,carport
359032,1648,apartment,1133,3,2.0,1,1,1,0,0,0,w/d in unit,
359034,1130,apartment,811,1,1.0,1,1,1,0,0,0,w/d in unit,
359035,1035,apartment,550,1,1.0,1,1,1,0,0,0,,
