,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
153,1381,apartment,1183,3,2.0,0,0,1,0,0,0,no laundry on site,None
154,799,apartment,600,1,1.0,1,1,1,0,0,0,laundry on site,carport
155,926,apartment,730,1,1.0,1,1,1,0,0,0,w/d in unit,carport
156,860,apartment,615,1,1.0,1,1,1,0,0,0,laundry on site,carport
157,1235,apartment,543,1,1.0,1,1,0,0,0,0,w/d in unit,carport
158,3416,apartment,1070,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage
159,736,apartment,350,0,1.0,1,1,1,0,0,0,no laundry on site,None
160,924,apartment,539,1,1.0,1,1,1,0,0,0,w/d in unit,None
161,1048,apartment,700,1,1.0,0,0,1,0,0,0,no laundry on site,None
162,925,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,carport
163,1605,apartment,1106,2,2.0,1,1,0,0,0,0,w/d in unit,carport
164,1235,apartment,2082,4,1.5,1,1,1,0,0,0,no laundry on site,None
165,1254,apartment,1152,3,2.0,1,1,1,0,0,0,w/d in unit,carport
166,647,apartment,1159,2,2.0,1,1,1,0,0,0,w/d in unit,carport
167,1850,apartment,1160,2,2.0,1,1,0,0,0,0,w/d in unit,carport
168,1205,apartment,937,1,1.0,1,1,1,0,0,0,no laundry on site,None
169,925,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,carport
170,1555,apartment,1426,3,2.0,0,0,1,0,0,0,no laundry on site,None
171,1585,apartment,1063,2,2.0,1,1,1,0,0,0,w/d in unit,carport
172,925,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,carport
173,1346,apartment,950,2,2.0,1,1,1,0,0,0,w/d in unit,carport
174,1175,apartment,730,1,1.0,1,1,1,0,0,0,w/d in unit,carport
175,925,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,carport
176,1499,apartment,1221,2,0.0,1,1,1,0,0,0,no laundry on site,None
177,679,apartment,240,0,1.0,0,0,1,0,0,0,no laundry on site,None
178,925,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,carport
179,0,apartment,900,2,2.0,0,0,1,0,0,0,no laundry on site,None
180,1070,apartment,814,1,1.0,0,0,1,0,0,0,no laundry on site,None
181,1344,apartment,1199,3,2.0,1,1,1,0,0,0,w/d in unit,carport
182,1520,apartment,1063,2,2.0,1,1,1,0,0,0,w/d in unit,carport
183,1200,apartment,1000,2,2.0,1,1,1,0,0,0,w/d in unit,carport
184,0,apartment,778,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
185,1171,apartment,911,2,2.0,0,1,1,0,0,0,laundry on site,carport
186,1650,apartment,1188,3,2.0,1,1,0,0,0,0,w/d in unit,carport
187,1180,apartment,770,1,0.0,0,0,1,0,0,0,w/d in unit,carport
188,1095,apartment,800,2,2.0,1,1,0,0,0,0,laundry on site,off-street parking
189,940,apartment,675,1,1.0,1,1,1,0,0,0,w/d in unit,carport
190,1200,apartment,940,2,2.0,1,1,1,0,0,0,w/d in unit,carport
191,1200,apartment,940,2,2.0,1,1,1,0,0,0,w/d in unit,carport
192,1200,apartment,1000,2,2.0,1,1,1,0,0,0,w/d in unit,carport
193,1200,apartment,940,2,2.0,1,1,1,0,0,0,w/d in unit,carport
194,1275,apartment,900,2,2.0,0,0,1,0,0,0,no laundry on site,None
195,800,apartment,500,0,1.0,1,1,1,0,0,0,w/d in unit,carport
196,973,apartment,586,1,1.0,0,0,1,0,0,0,no laundry on site,None
197,800,apartment,500,0,1.0,1,1,1,0,0,0,w/d in unit,carport
198,1209,apartment,900,2,2.0,0,0,1,0,0,0,no laundry on site,None
199,800,apartment,500,0,1.0,1,1,1,0,0,0,w/d in unit,carport
200,1199,apartment,745,1,1.0,0,0,1,0,0,0,no laundry on site,None
201,1248,apartment,938,2,2.0,1,1,1,1,0,0,w/d in unit,None
202,1337,apartment,970,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
203,1095,apartment,1000,2,2.0,1,1,0,0,0,0,w/d in unit,carport
204,0,apartment,778,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
205,1190,apartment,1006,2,2.0,0,0,1,0,0,0,w/d in unit,None
206,1220,apartment,868,1,1.0,0,0,1,0,0,0,no laundry on site,None
207,975,apartment,926,2,2.0,0,0,1,0,0,0,no laundry on site,None
208,1199,apartment,910,1,1.0,1,1,1,0,0,0,w/d in unit,carport
209,1438,apartment,1006,2,2.0,0,0,1,0,0,0,no laundry on site,None
210,1190,apartment,797,1,1.0,1,1,1,0,0,0,w/d in unit,carport
211,1305,apartment,1067,2,2.0,0,0,1,0,0,0,no laundry on site,None
212,1146,apartment,950,2,2.0,0,0,1,0,0,0,no laundry on site,None
213,955,apartment,694,1,1.0,1,1,1,0,0,0,w/d in unit,carport
214,1030,apartment,946,2,1.0,1,1,1,0,0,0,w/d in unit,carport
215,2036,apartment,982,2,2.0,1,1,1,0,0,0,w/d in unit,None
216,1400,apartment,769,1,1.0,1,1,1,0,0,0,w/d in unit,None
217,1403,apartment,770,1,1.0,1,1,0,0,0,0,w/d in unit,carport
218,975,apartment,926,2,2.0,0,0,1,0,0,0,no laundry on site,None
219,1441,apartment,1208,2,2.0,1,1,1,0,0,0,w/d in unit,carport
220,725,apartment,590,1,1.0,1,1,1,0,0,0,laundry on site,None
221,1085,apartment,667,1,1.0,1,1,1,0,0,0,w/d in unit,carport
222,1160,apartment,902,2,2.0,1,1,1,0,0,0,w/d in unit,carport
223,912,apartment,833,1,1.0,1,1,1,0,0,0,w/d in unit,carport
224,1115,apartment,1144,2,2.0,1,1,1,0,0,0,w/d in unit,carport
225,0,apartment,778,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
226,795,apartment,491,0,1.0,1,1,1,0,0,0,w/d in unit,off-street parking
227,685,apartment,569,1,1.0,1,1,1,0,0,0,w/d in unit,carport
228,1520,apartment,1146,3,2.0,1,1,1,0,0,0,no laundry on site,None
229,1301,apartment,1003,2,2.0,1,1,0,0,0,0,w/d in unit,carport
230,1425,apartment,1213,2,2.0,1,0,0,0,0,0,no laundry on site,carport
231,1535,apartment,1253,2,2.0,1,1,1,0,0,0,w/d in unit,carport
232,1677,apartment,1098,2,2.0,0,0,1,0,0,0,w/d in unit,attached garage
233,785,apartment,502,0,1.0,1,1,1,0,0,0,w/d in unit,None
234,1212,apartment,916,2,2.0,1,1,1,0,0,0,no laundry on site,None
235,975,apartment,863,2,1.0,1,1,1,0,0,0,w/d in unit,carport
236,0,apartment,778,2,2.0,1,1,1,0,0,0,laundry in bldg,off-street parking
237,1423,apartment,988,2,2.0,0,0,1,0,0,0,no laundry on site,None
238,1095,apartment,1295,2,2.0,1,1,1,0,0,0,w/d in unit,carport
239,1773,apartment,1133,3,2.0,1,1,1,0,0,0,w/d in unit,None
240,1389,apartment,1205,2,2.0,1,1,1,0,0,0,w/d in unit,carport
241,1330,apartment,503,0,1.0,1,1,0,1,0,1,w/d in unit,detached garage
242,1105,apartment,605,1,1.0,1,1,0,0,0,0,laundry on site,carport
243,1400,apartment,1050,2,2.0,1,1,1,0,0,0,laundry on site,carport
244,1648,apartment,1133,3,2.0,1,1,1,0,0,0,w/d in unit,None
245,1130,apartment,811,1,1.0,1,1,1,0,0,0,w/d in unit,None
246,1035,apartment,550,1,1.0,1,1,1,0,0,0,no laundry on site,None
247,1183,apartment,805,2,2.0,1,1,1,0,0,0,laundry on site,carport
248,799,apartment,600,1,1.0,1,1,1,0,0,0,laundry on site,carport
249,1089,apartment,771,1,1.0,0,0,1,0,0,0,no laundry on site,None
250,845,apartment,550,1,1.0,1,1,1,0,0,0,laundry on site,carport
251,1105,apartment,605,1,1.0,1,1,0,0,0,0,w/d in unit,None
252,219,apartment,300,0,1.0,1,1,0,1,0,1,no laundry on site,None
253,845,apartment,702,2,1.0,1,1,1,0,0,0,w/d in unit,carport
254,1431,apartment,971,2,2.0,1,1,1,0,0,0,w/d in unit,None
255,749,apartment,555,1,1.0,0,0,1,0,0,0,no laundry on site,None
256,792,apartment,375,0,1.0,1,1,1,0,0,1,laundry on site,None
257,1246,apartment,900,2,2.0,0,0,1,0,0,0,no laundry on site,None
258,875,apartment,636,2,1.0,1,1,1,0,0,0,no laundry on site,None
259,695,apartment,475,0,1.0,1,1,1,0,0,0,no laundry on site,None
260,665,apartment,329,0,1.0,1,1,1,0,0,0,no laundry on site,None
261,0,apartment,778,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
262,920,apartment,853,2,1.0,1,1,1,0,0,0,no laundry on site,None
263,981,apartment,540,1,1.0,1,1,1,0,0,1,laundry on site,None
264,706,apartment,555,1,1.0,0,0,1,0,0,0,no laundry on site,None
265,850,apartment,650,2,2.0,1,1,1,1,0,0,laundry on site,carport
266,795,apartment,491,1,1.0,1,1,1,0,0,0,no laundry on site,None
267,955,apartment,900,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
268,845,apartment,720,1,1.0,0,0,1,0,0,0,w/d in unit,carport
269,1205,apartment,970,2,2.0,1,1,1,0,0,0,w/d in unit,carport
270,979,apartment,991,2,2.0,1,1,1,0,0,0,w/d in unit,carport
